IE_XML_ID;IE_NAME;IE_ID;IE_ACTIVE;IE_ACTIVE_FROM;IE_ACTIVE_TO;IE_PREVIEW_PICTURE;IE_PREVIEW_TEXT;IE_PREVIEW_TEXT_TYPE;IE_DETAIL_PICTURE;IE_DETAIL_TEXT;IE_DETAIL_TEXT_TYPE;IE_CODE;IE_SORT;IE_TAGS;IP_PROP1;IP_PROP2;IP_PROP10;IP_PROP32;IP_PROP26;IP_PROP41;IP_PROP29;IP_PROP40;IP_PROP33;IP_PROP39;IP_PROP35;IP_PROP25;IP_PROP46;IP_PROP38;IP_PROP31;IP_PROP36;IP_PROP30;IP_PROP23;IP_PROP21;IP_PROP22;IP_PROP24;IC_GROUP0;IC_GROUP1;IC_GROUP2;
14;Шампунь для дисциплинирования (уплотнения) волос Shampoo Extra;14;Y;09.10.2018 21:48:00;;;Шампунь для дисциплинирования (уплотнения) волос Shampoo Extra;text;;Шампунь для дисциплинирования (уплотнения) волос Shampoo Extra;;Shampun_dlja_disciplinirovanija_uplotnenija_volos_Shampoo_Extra;;;150300985-01;1100;;DEMI;;;;;;;;;250;;;;;;;;;Для волос;;
15;Шампунь для частого использования Calmly Wash;15;Y;09.10.2018 21:48:00;;;Шампунь для частого использования Calmly Wash;text;;Шампунь для частого использования Calmly Wash;;Shampun_dlja_chastogo_ispolzovanija_Calmly_Wash;;;150300986-01;1550;;DEMI;;;;;;;;;250;;;;;;;;;Для волос;;
16;Маска для глубокого восстановления Mask;16;Y;09.10.2018 21:48:00;;;Маска для глубокого восстановления Mask;text;;Маска для глубокого восстановления Mask;;Maska_dlja_glubokogo_vosstanovlenija_Mask_;;;150300989-01;2100;;DEMI;;;;;;;;;250;;;;;;;;;Для волос;;
17;Шампунь увлажняющий с цветочным ароматом ISLAND FLOWER Shampoo (Остров цветов);17;Y;09.10.2018 21:48:00;;;Шампунь увлажняющий с цветочным ароматом ISLAND FLOWER Shampoo (Остров цветов);text;;Шампунь увлажняющий с цветочным ароматом ISLAND FLOWER Shampoo (Остров цветов);;Shampun_uvlazhnjajushhij_s_cvetochnym_aromatom_ISLAND_FLOWER_Shampoo_Ostrov_cvetov;;;150301327-01;1050;;DEMI;;;;;;;;;240;;;;;;;;;Для волос;;
18;Тритмент увлажняющий и питающий с цветочным ароматом ISLAND FLOWER Hair Treatment (Остров цветов);18;Y;09.10.2018 21:48:00;;;Тритмент увлажняющий и питающий с цветочным ароматом ISLAND FLOWER Hair Treatment (Остров цветов);text;;Тритмент увлажняющий и питающий с цветочным ароматом ISLAND FLOWER Hair Treatment (Остров цветов);;Tritment_uvlazhnjajushhij_i_pitajushhij_s_cvetochnym_aromatom_ISLAND_FLOWER_Hair_Treatment_Ostrov_cvetov;;;150400539-01;1450;;DEMI;;;;;;;;;240;;;;;;;;;Для волос;;
19;Маска увлажняющая и питающая с цветочным ароматом ISLAND FLOWER Mask (Остров цветов);19;Y;09.10.2018 21:48:00;;;Маска увлажняющая и питающая с цветочным ароматом ISLAND FLOWER Mask (Остров цветов);text;;Маска увлажняющая и питающая с цветочным ароматом ISLAND FLOWER Mask (Остров цветов);;Maska_uvlazhnjajushhaja_i_pitajushhaja_s_cvetochnym_aromatom_ISLAND_FLOWER_Mask_Ostrov_cvetov;;;150400555-01;1550;;DEMI;;;;;;;;;250;;;;;;;;;Для волос;;
20;Шампунь увлажняющий с цветочно-древесным ароматом HEAVENS BIRD Shampoo (Райская птица);20;Y;09.10.2018 21:48:00;;;Шампунь увлажняющий с цветочно-древесным ароматом HEAVENS BIRD Shampoo (Райская птица);text;;Шампунь увлажняющий с цветочно-древесным ароматом HEAVENS BIRD Shampoo (Райская птица);;Shampun_uvlazhnjajushhij_s_cvetochno-drevesnym_aromatom_HEAVENS_BIRD_Shampoo_Rajskaja_ptica;;;150301328-01;1050;;DEMI;;;;;;;;;240;;;;;;;;;Для волос;;
21;Тритмент увлажняющий и питающий с цветочно-древесным ароматом HEAVENS BIRD Hair Treatment (Райская птица);21;Y;09.10.2018 21:48:00;;;Тритмент увлажняющий и питающий с цветочно-древесным ароматом HEAVENS BIRD Hair Treatment (Райская птица);text;;Тритмент увлажняющий и питающий с цветочно-древесным ароматом HEAVENS BIRD Hair Treatment (Райская птица);;Tritment_uvlazhnjajushhij_i_pitajushhij_s_cvetochno-drevesnym_aromatom_HEAVENS_BIRD_Hair_Treatment_Rajskaja_ptica;;;150400543-01;1450;;DEMI;;;;;;;;;240;;;;;;;;;Для волос;;
22;Маска увлажняющая и питающая с цветочно-древесным ароматом HEAVENS BIRD Mask (Райская птица);22;Y;09.10.2018 21:48:00;;;Маска увлажняющая и питающая с цветочно-древесным ароматом HEAVENS BIRD Mask (Райская птица);text;;Маска увлажняющая и питающая с цветочно-древесным ароматом HEAVENS BIRD Mask (Райская птица);;Maska_uvlazhnjajushhaja_i_pitajushhaja_s_cvetochno-drevesnym_aromatom_HEAVENS_BIRD_Mask_Rajskaja_ptica;;;150400556-01;1550;;DEMI;;;;;;;;;250;;;;;;;;;Для волос;;
23;Шампунь увлажняющий с восточным ароматом MYSTERIOUS WIND Shampoo (Таинственный ветер);23;Y;09.10.2018 21:48:00;;;Шампунь увлажняющий с восточным ароматом MYSTERIOUS WIND Shampoo (Таинственный ветер);text;;Шампунь увлажняющий с восточным ароматом MYSTERIOUS WIND Shampoo (Таинственный ветер);;Shampun_uvlazhnjajushhij_s_vostochnym_aromatom_MYSTERIOUS_WIND_Shampoo_Tainstvennyj_veter;;;150301329-01;1050;;DEMI;;;;;;;;;240;;;;;;;;;Для волос;;
24;Тритмент увлажняющий и питающий с восточным ароматом MYSTERIOUS WIND Hair Treatment (Таинственный ветер);24;Y;09.10.2018 21:48:00;;;Тритмент увлажняющий и питающий с восточным ароматом MYSTERIOUS WIND Hair Treatment (Таинственный ветер);text;;Тритмент увлажняющий и питающий с восточным ароматом MYSTERIOUS WIND Hair Treatment (Таинственный ветер);;Tritment_uvlazhnjajushhij_i_pitajushhij_s_vostochnym_aromatom_MYSTERIOUS_WIND_Hair_Treatment_Tainstvennyj_veter;;;150400547-01;1450;;DEMI;;;;;;;;;240;;;;;;;;;Для волос;;
25;Маска увлажняющая и питающая с восточным ароматом MYSTERIOUS WIND Mask (Таинственный ветер);25;Y;09.10.2018 21:48:00;;;Маска увлажняющая и питающая с восточным ароматом MYSTERIOUS WIND Mask (Таинственный ветер);text;;Маска увлажняющая и питающая с восточным ароматом MYSTERIOUS WIND Mask (Таинственный ветер);;Maska_uvlazhnjajushhaja_i_pitajushhaja_s_vostochnym_aromatom_MYSTERIOUS_WIND_Mask_Tainstvennyj_veter;;;150400557-01;1550;;DEMI;;;;;;;;;250;;;;;;;;;Для волос;;
26;Шампунь увлажняющий с цветочно-освежающим ароматом FROZEN MOON Shampoo (Холодная луна);26;Y;09.10.2018 21:48:00;;;Шампунь увлажняющий с цветочно-освежающим ароматом FROZEN MOON Shampoo (Холодная луна);text;;Шампунь увлажняющий с цветочно-освежающим ароматом FROZEN MOON Shampoo (Холодная луна);;Shampun_uvlazhnjajushhij_s_cvetochno-osvezhajushhim_aromatom_FROZEN_MOON_Shampoo_Holodnaja_luna;;;150301330-01;1050;;DEMI;;;;;;;;;240;;;;;;;;;Для волос;;
27;Тритмент увлажняющий и питающий с цветочно-освежающим ароматом FROZEN MOON Hair Treatment (Холодная луна);27;Y;09.10.2018 21:48:00;;;Тритмент увлажняющий и питающий с цветочно-освежающим ароматом FROZEN MOON Hair Treatment (Холодная луна);text;;Тритмент увлажняющий и питающий с цветочно-освежающим ароматом FROZEN MOON Hair Treatment (Холодная луна);;Tritment_uvlazhnjajushhij_i_pitajushhij_s_cvetochno-osvezhajushhim_aromatom_FROZEN_MOON_Hair_Treatment_Holodnaja_luna;;;150400551-01;1450;;DEMI;;;;;;;;;240;;;;;;;;;Для волос;;
